year,month,zone,country_wikidata_uri,city_wikidata_uri,intensity
2024,Enero,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,103019
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,231233
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,350079
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,196928
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,411976
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,205079
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,311273
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,25776
2024,Febrero,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,105578
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,239172
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,357444
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,203746
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,427609
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,218266
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,316499
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,26204
2024,Marzo,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,107578
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,239024
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,352766
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,194529
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,408308
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,201427
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,303242
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,25117
2024,Abril,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,108532
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,249727
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,367178
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,209909
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,440596
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,218867
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,320078
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,26273
2024,Mayo,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,107020
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,239528
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,372802
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,205501
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,438740
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,213818
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,313265
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,26782
2024,Junio,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,108746
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,235710
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,384247
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,209560
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,438064
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,218942
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,319435
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,26802
2024,Julio,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,105790
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,223399
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,363403
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,186920
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,390196
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,200654
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,285863
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,23889
2024,Agosto,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,89698
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,153248
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,258526
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,131767
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,262835
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,170096
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,222175
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,18842
2024,Septiembre,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,108779
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,231999
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,364590
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,208549
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,407273
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,214097
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,311295
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,26021
2024,Octubre,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,107700
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,241170
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,370692
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,212452
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,406830
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,220101
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,318366
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,26986
2024,Noviembre,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,107699
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,241911
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,368576
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,214551
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,405138
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,222375
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,323074
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,27005
2024,Diciembre,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,100120
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,226367
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,345883
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,201681
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,377847
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,208589
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,312498
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,25921
2025,Enero,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,102316
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,224960
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,343956
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,195619
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,374313
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,205025
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,288720
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,25439
2025,Febrero,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,103435
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,240500
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,360343
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,208915
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,396366
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,217972
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,300650
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,25996
2025,Marzo,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,102976
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,231990
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,352279
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,203849
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,392616
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,213570
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,304189
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,25816
